S.no.,user_id,tweet_id,username,location,following,followers,twt_created_at,total_tweets,retweet_count,text,hashtags,mentions,textblob_polarity,nltk_compound,avg_sentiment,textblob_sentiment,nltk_sentiment,priority
34,86,86,pk_wit,Global,6,3,2022-11-08 17:41:43+00:00,363,0,agree highway entry exit highway totally unscientific service lane local simply enter highway like way jaipur see delhi gurgaon exit entry horrendous people driving wrong side increasing like hell,[],"[{'screen_name': 'ANI', 'name': 'ANI', 'id': 355989081, 'id_str': '355989081', 'indices': [0, 4]}]",-0.125,-0.7184,-1,-1,-1,0
35,87,87,georgianmehta,dharamshala,109,51,2022-11-08 17:39:29+00:00,346,0,woh sab theek hae par punjab state hae koi alag country nhi aap jagah likh rahe hae know typing error,[],"[{'screen_name': 'ArvindKejriwal', 'name': 'Arvind Kejriwal', 'id': 405427035, 'id_str': '405427035', 'indices': [0, 15]}]",0,-0.4019,-1,0,-1,0
36,88,88,KLuvneet,,188,107,2022-11-08 17:37:57+00:00,3746,0,terrifying see animal loosing due unavailability water resource famine drought torturous death every nation must come awake address soil kenya must set example world,"[{'text': 'life', 'indices': [45, 50]}, {'text': 'health', 'indices': [186, 193]}, {'text': 'SaveSoil', 'indices': [243, 252]}]","[{'screen_name': 'UNBiodiversity', 'name': 'UN Biodiversity', 'id': 40001204, 'id_str': '40001204', 'indices': [253, 268]}, {'screen_name': 'wef', 'name': 'World Economic Forum', 'id': 5120691, 'id_str': '5120691', 'indices': [269, 273]}, {'screen_name': 'FDA', 'name': 'FDA', 'id': 1255526396807561217, 'id_str': '1255526396807561217', 'indices': [274, 278]}, {'screen_name': 'PMOIndia', 'name': 'PMO India', 'id': 471741741, 'id_str': '471741741', 'indices': [279, 288]}]",-0.5625,-0.9062,-1,-1,-1,1
41,95,95,shaileshbrahm,"Ahmedabad ,Ayodhya ",4453,3641,2022-11-08 17:24:02+00:00,28014,0,sonia gandhi nac key nembers anti corruption movement iac mummy feel cannot rule india promoted aap still fund use strategy,[],"[{'screen_name': 'ArvindKejriwal', 'name': 'Arvind Kejriwal', 'id': 405427035, 'id_str': '405427035', 'indices': [33, 48]}, {'screen_name': 'pbhushan1', 'name': 'Prashant Bhushan', 'id': 2284802828, 'id_str': '2284802828', 'indices': [49, 59]}, {'screen_name': '_YogendraYadav', 'name': 'Yogendra Yadav', 'id': 1317076194, 'id_str': '1317076194', 'indices': [60, 75]}, {'screen_name': 'RahulGandhi', 'name': 'Rahul Gandhi', 'id': 3171712086, 'id_str': '3171712086', 'indices': [118, 130]}, {'screen_name': 'ArvindKejriwal', 'name': 'Arvind Kejriwal', 'id': 405427035, 'id_str': '405427035', 'indices': [172, 187]}]",0,-0.5621,-1,0,-1,0
44,100,100,nimmamukund,"Bengaluru, India",2695,1386,2022-11-08 17:19:57+00:00,8499,3,bro sexual assault common time legal cell uncle assaulted young boy bjym president would protested outside bjp office reach justice,[],"[{'screen_name': 'Tejasvi_Surya', 'name': 'Tejasvi Surya', 'id': 390677061, 'id_str': '390677061', 'indices': [4, 18]}, {'screen_name': 'BJP4India', 'name': 'BJP', 'id': 207809313, 'id_str': '207809313', 'indices': [51, 61]}, {'screen_name': 'BJYM', 'name': 'BJYM', 'id': 53075131, 'id_str': '53075131', 'indices': [130, 135]}, {'screen_name': 'ArvindKejriwal', 'name': 'Arvind Kejriwal', 'id': 405427035, 'id_str': '405427035', 'indices': [222, 237]}]",0.1,-0.5719,-1,1,-1,0
52,114,114,CAChirag,"Mumbai, India",129,65695,2022-11-08 17:06:07+00:00,30798,3,average people die mumbai local every day yes every day pti headline misleading vande bharat train running road shameful disrespectful,[],"[{'screen_name': 'PTI_News', 'name': 'Press Trust of India', 'id': 245687754, 'id_str': '245687754', 'indices': [0, 9]}]",-0.075,-0.7964,-1,-1,-1,1
56,119,119,sandy7676,"New Delhi, India",517,152,2022-11-08 16:56:08+00:00,2732,0,sorry disagree nation modi sitting outside mean demean country,[],"[{'screen_name': 'Ashwini44716615', 'name': 'Ashwini Gupta', 'id': 3301760141, 'id_str': '3301760141', 'indices': [0, 16]}, {'screen_name': 'aartic02', 'name': 'Aarti', 'id': 1016786527, 'id_str': '1016786527', 'indices': [17, 26]}, {'screen_name': 'ArvindKejriwal', 'name': 'Arvind Kejriwal', 'id': 405427035, 'id_str': '405427035', 'indices': [27, 42]}]",-0.2708333,-0.4404,-1,-1,-1,0
57,121,121,SupenChakma1,"Agartala, India",30,18,2022-11-08 16:53:14+00:00,9,6,aam aadmi party tripura change wrong politics india,"[{'text': 'Aap4tripura', 'indices': [146, 158]}, {'text': 'Aam_Aadmi_Party', 'indices': [159, 175]}]","[{'screen_name': 'ArvindKejriwal', 'name': 'Arvind Kejriwal', 'id': 405427035, 'id_str': '405427035', 'indices': [75, 90]}, {'screen_name': 'raghav_chadha', 'name': 'Raghav Chadha', 'id': 98815583, 'id_str': '98815583', 'indices': [91, 105]}, {'screen_name': 'msisodia', 'name': 'Manish Sisodia', 'id': 30417501, 'id_str': '30417501', 'indices': [106, 115]}, {'screen_name': 'beingAAPian', 'name': 'Rajesh Sharma ‡•§‡ß∞‡¶æ‡¶ú‡ßá‡¶∂ ‡¶∂‡ß∞‡ßç‡¶Æ‡¶æ ‡•§‡™∞‡™æ‡™ú‡´á‡™∂ ‡™∂‡™∞‡´ç‡™Æ‡™æ üáÆüá≥', 'id': 25663562, 'id_str': '25663562', 'indices': [116, 128]}, {'screen_name': 'aumapadaluwang', 'name': 'Abujam Umapada Luwang', 'id': 3131454561, 'id_str': '3131454561', 'indices': [129, 144]}]",-0.5,-0.1027,-1,-1,-1,0
58,122,122,BAJIRAOII,MUMBAI,578,133,2022-11-08 16:51:09+00:00,23428,0,lovin lovin lovin lovin cunning fox bania got exposed,[],"[{'screen_name': 'ArvindKejriwal', 'name': 'Arvind Kejriwal', 'id': 405427035, 'id_str': '405427035', 'indices': [71, 86]}, {'screen_name': 'AamAadmiParty', 'name': 'AAP', 'id': 711694309, 'id_str': '711694309', 'indices': [126, 140]}, {'screen_name': 'msisodia', 'name': 'Manish Sisodia', 'id': 30417501, 'id_str': '30417501', 'indices': [141, 150]}, {'screen_name': 'ArvindKejriwal', 'name': 'Arvind Kejriwal', 'id': 405427035, 'id_str': '405427035', 'indices': [151, 166]}, {'screen_name': 'raghav_chadha', 'name': 'Raghav Chadha', 'id': 98815583, 'id_str': '98815583', 'indices': [167, 181]}, {'screen_name': 'AtishiAAP', 'name': 'Atishi', 'id': 361301678, 'id_str': '361301678', 'indices': [182, 192]}, {'screen_name': 'SanjayAzadSln', 'name': 'Sanjay Singh AAP', 'id': 328941811, 'id_str': '328941811', 'indices': [193, 207]}, {'screen_name': 'BhagwantMann', 'name': 'Bhagwant Mann', 'id': 170396389, 'id_str': '170396389', 'indices': [208, 221]}]",0,-0.0772,-1,0,-1,0
62,128,128,faazeldastani,"New Delhi, India",649,169,2022-11-08 16:45:25+00:00,3869,0,dear sir please stop compulsory mask rule airport also crew member pain,[],"[{'screen_name': 'DGCAIndia', 'name': 'DGCA', 'id': 1137307520093941760, 'id_str': '1137307520093941760', 'indices': [0, 10]}, {'screen_name': 'JM_Scindia', 'name': 'Jyotiraditya M. Scindia', 'id': 2892809359, 'id_str': '2892809359', 'indices': [11, 22]}, {'screen_name': 'PMOIndia', 'name': 'PMO India', 'id': 471741741, 'id_str': '471741741', 'indices': [23, 32]}, {'screen_name': 'RGIAHyd', 'name': 'RGIA Hyderabad', 'id': 2862367135, 'id_str': '2862367135', 'indices': [130, 138]}, {'screen_name': 'aaigoaairport', 'name': 'Goa Airport', 'id': 770140906880196608, 'id_str': '770140906880196608', 'indices': [139, 153]}, {'screen_name': 'DelhiAirport', 'name': 'Delhi Airport', 'id': 376106733, 'id_str': '376106733', 'indices': [154, 167]}, {'screen_name': 'AAI_Official', 'name': 'Airports Authority of India', 'id': 877832878830137345, 'id_str': '877832878830137345', 'indices': [168, 181]}, {'screen_name': 'CSMIA_Official', 'name': 'CSMIA', 'id': 313881816, 'id_str': '313881816', 'indices': [182, 197]}]",0,-0.1531,-1,0,-1,1
69,142,142,PrabhakarGoud_K,"Kamareddy, India",231,583,2022-11-08 15:56:25+00:00,6540,1,correction bjp give freebie poor people bjp give freebie gujarat,"[{'text': 'Bankrupts', 'indices': [88, 98]}]","[{'screen_name': 'PTI_News', 'name': 'Press Trust of India', 'id': 245687754, 'id_str': '245687754', 'indices': [0, 9]}]",-0.4,0.3612,-1,-1,1,0
70,143,143,Garrychakde,New Delhi,956,608,2022-11-08 15:54:51+00:00,132628,0,wicked play new game fool public november must remembered public sodomy day,[],"[{'screen_name': 'narendramodi', 'name': 'Narendra Modi', 'id': 18839785, 'id_str': '18839785', 'indices': [0, 13]}, {'screen_name': 'PMOIndia', 'name': 'PMO India', 'id': 471741741, 'id_str': '471741741', 'indices': [14, 23]}]",-0.0659091,-0.5994,-1,-1,-1,0
71,145,145,dsouza_paul,"Bengaluru, India",1711,645,2022-11-08 15:44:21+00:00,122953,0,corruption ghaayab bharat cash reduced bharat economy bharat improved multiplefold since fraud perpetrated public lastly din pure hue,"[{'text': 'DemonetisationDisaster', 'indices': [223, 246]}]","[{'screen_name': 'narendramodi', 'name': 'Narendra Modi', 'id': 18839785, 'id_str': '18839785', 'indices': [0, 13]}, {'screen_name': 'PMOIndia', 'name': 'PMO India', 'id': 471741741, 'id_str': '471741741', 'indices': [14, 23]}, {'screen_name': 'AmitShah', 'name': 'Amit Shah', 'id': 1447949844, 'id_str': '1447949844', 'indices': [24, 33]}, {'screen_name': 'AmitShahOffice', 'name': 'Office of Amit Shah', 'id': 4306715188, 'id_str': '4306715188', 'indices': [34, 49]}, {'screen_name': 'BJP4India', 'name': 'BJP', 'id': 207809313, 'id_str': '207809313', 'indices': [50, 60]}]",0.07142857,-0.1779,-1,1,-1,0
77,309,309,abbyayaan,,86,25,2022-11-08 23:27:21+00:00,227,0,travelling passing markundi toll acp toll pvt lmtd toll arenpt accepting payment fastag saying govt hvnt approved yet take payment fastag forced pay cash,[],"[{'screen_name': 'nitin_gadkari', 'name': 'Nitin Gadkari', 'id': 97217966, 'id_str': '97217966', 'indices': [224, 238]}, {'screen_name': 'NHAI_Official', 'name': 'NHAI', 'id': 903136272935297025, 'id_str': '903136272935297025', 'indices': [239, 253]}, {'screen_name': 'PMOIndia', 'name': 'PMO India', 'id': 471741741, 'id_str': '471741741', 'indices': [254, 263]}, {'screen_name': 'narendramodi', 'name': 'Narendra Modi', 'id': 18839785, 'id_str': '18839785', 'indices': [264, 277]}]",-0.3,0.25,-1,-1,1,1
80,316,316,_khanwaseem,"New Delhi, India",663,696,2022-11-08 21:06:34+00:00,1247,0,earthquake magnitude occurred ist lat long depth location nepal,[],"[{'screen_name': 'SatyamevL', 'name': 'Satyamev Times', 'id': 1046400263681126401, 'id_str': '1046400263681126401', 'indices': [128, 138]}, {'screen_name': 'narendramodi', 'name': 'Narendra Modi', 'id': 18839785, 'id_str': '18839785', 'indices': [139, 152]}, {'screen_name': 'divyamittal_IAS', 'name': 'Divya Mittal', 'id': 2614112610, 'id_str': '2614112610', 'indices': [153, 169]}, {'screen_name': 'premranjanias', 'name': 'Prem Ranjan Singh IAS üáÆüá≥', 'id': 1290748231941369856, 'id_str': '1290748231941369856', 'indices': [170, 184]}, {'screen_name': 'ShabanaUllah', 'name': 'Shabana Ullah Khan', 'id': 1377921382349037573, 'id_str': '1377921382349037573', 'indices': [185, 198]}]",-0.05,0,-1,-1,0,0
83,328,328,AyushPatel101,,9,0,2022-11-08 20:11:37+00:00,1,0,video showing risky pickup management bus stand great statue unity people running towards bus approaching dangerous scenario accident policeman also tired handle situation,[],"[{'screen_name': 'rashtrapatibhvn', 'name': 'President of India', 'id': 885487044243238912, 'id_str': '885487044243238912', 'indices': [239, 255]}, {'screen_name': 'narendramodi', 'name': 'Narendra Modi', 'id': 18839785, 'id_str': '18839785', 'indices': [256, 269]}, {'screen_name': 'AmitShah', 'name': 'Amit Shah', 'id': 1447949844, 'id_str': '1447949844', 'indices': [270, 279]}]",-0.05,-0.7003,-1,-1,-1,1
84,330,330,iShiva_Patil,"Nashville, TN",3139,2624,2022-11-08 20:02:38+00:00,5427,0,kannada board another mistake cover one,[],"[{'screen_name': 'ShashikalaJolle', 'name': 'Shashikala Jolle', 'id': 704994405065760768, 'id_str': '704994405065760768', 'indices': [0, 16]}, {'screen_name': 'satishjarkiholi', 'name': 'Satish Jarkiholi', 'id': 1852309500, 'id_str': '1852309500', 'indices': [17, 33]}, {'screen_name': 'BJP4Karnataka', 'name': 'BJP Karnataka', 'id': 25123615, 'id_str': '25123615', 'indices': [34, 48]}, {'screen_name': 'BJP4India', 'name': 'BJP', 'id': 207809313, 'id_str': '207809313', 'indices': [49, 59]}, {'screen_name': 'narendramodi', 'name': 'Narendra Modi', 'id': 18839785, 'id_str': '18839785', 'indices': [60, 73]}, {'screen_name': 'BSBommai', 'name': 'Basavaraj S Bommai', 'id': 2955117367, 'id_str': '2955117367', 'indices': [74, 83]}, {'screen_name': 'JPNadda', 'name': 'Jagat Prakash Nadda', 'id': 2990611686, 'id_str': '2990611686', 'indices': [84, 92]}]",0,-0.34,-1,0,-1,0
92,353,353,Ashokmruthyu,Bangalore,65,1475,2022-11-08 18:18:38+00:00,11478,1,pls come mahadevpura road pathetic mla made life hell pls save come road get built,[],"[{'screen_name': 'narendramodi', 'name': 'Narendra Modi', 'id': 18839785, 'id_str': '18839785', 'indices': [0, 13]}, {'screen_name': 'ArvindLBJP', 'name': 'Aravind Limbavali', 'id': 849194701, 'id_str': '849194701', 'indices': [75, 86]}, {'screen_name': 'WFRising', 'name': 'Whitefield Rising', 'id': 2242672866, 'id_str': '2242672866', 'indices': [157, 166]}, {'screen_name': 'kdevforum', 'name': 'SaveBellandur(‡≤¨‡≥Ü‡≤≥‡≥ç‡≤≥‡≤Ç‡≤¶‡≥Ç‡≤∞‡≥Å ‡≤â‡≤≥‡≤ø‡≤∏‡≤ø)', 'id': 965114888744914944, 'id_str': '965114888744914944', 'indices': [167, 177]}, {'screen_name': 'Dkhallirising', 'name': 'Doddakannelli Rising', 'id': 1013051872897167360, 'id_str': '1013051872897167360', 'indices': [178, 192]}, {'screen_name': 'carmelaramunite', 'name': 'carmelaramunites', 'id': 928594115142365184, 'id_str': '928594115142365184', 'indices': [193, 209]}, {'screen_name': 'BellandurJothge', 'name': 'BellandurJothege', 'id': 960822677060706306, 'id_str': '960822677060706306', 'indices': [210, 226]}, {'screen_name': 'east_bengaluru', 'name': 'Citizens Movement, East Bengaluru', 'id': 1383812498973855753, 'id_str': '1383812498973855753', 'indices': [227, 242]}, {'screen_name': 'BalagereConnect', 'name': 'Namma Balagere - Stuck at Pananthur RUB', 'id': 1087413406691295232, 'id_str': '1087413406691295232', 'indices': [243, 259]}, {'screen_name': 'RisingVarthur', 'name': 'Varthur Rising', 'id': 1208661637185433603, 'id_str': '1208661637185433603', 'indices': [260, 274]}]",-1,-0.6705,-1,-1,-1,1
96,363,363,PratikChouras20,"Nagpur, India",54,1,2022-11-08 17:54:30+00:00,3,0,south eastern railway worst railway zone india train never time hour delay become common thing suppose deliver delay,[],"[{'screen_name': 'Se_Railway', 'name': 'Southeastern', 'id': 361312721, 'id_str': '361312721', 'indices': [0, 11]}, {'screen_name': 'RailMinIndia', 'name': 'Ministry of Railways', 'id': 2602959463, 'id_str': '2602959463', 'indices': [12, 25]}, {'screen_name': 'AshwiniVaishnaw', 'name': 'Ashwini Vaishnaw', 'id': 852579395315171328, 'id_str': '852579395315171328', 'indices': [26, 42]}, {'screen_name': 'narendramodi', 'name': 'Narendra Modi', 'id': 18839785, 'id_str': '18839785', 'indices': [43, 56]}, {'screen_name': 'ABPNews', 'name': 'ABP News', 'id': 39240673, 'id_str': '39240673', 'indices': [57, 65]}, {'screen_name': 'CNNnews18', 'name': 'News18', 'id': 6509832, 'id_str': '6509832', 'indices': [66, 76]}, {'screen_name': 'narendramodi', 'name': 'Narendra Modi', 'id': 18839785, 'id_str': '18839785', 'indices': [259, 272]}]",-0.65,-0.2905,-1,-1,-1,1
101,382,382,EdwinSo20178474,,506,114,2022-11-08 17:24:03+00:00,4167,0,sad guy unable bear price rising,[],"[{'screen_name': 'BalyanBikram', 'name': 'Bikram Singh Balyan', 'id': 1359098643555389441, 'id_str': '1359098643555389441', 'indices': [0, 13]}, {'screen_name': 'BJP4UP', 'name': 'BJP Uttar Pradesh', 'id': 2220938808, 'id_str': '2220938808', 'indices': [14, 21]}, {'screen_name': 'narendramodi', 'name': 'Narendra Modi', 'id': 18839785, 'id_str': '18839785', 'indices': [22, 35]}]",-0.5,-0.4767,-1,-1,-1,0
